Starting price: $10.00
on day 1, price is $10.03
on day 2227, price is $73.09
on day 2228, price is $73.12
on day 2229, price is $73.09
on day 2230, price is $73.14
on day 2231, price is $73.14
on day 2232, price is $73.10
on day 2233, price is $73.10
on day 2234, price is $73.13
on day 2235, price is $73.27
on day 2236, price is $73.27
on day 2237, price is $73.23
on day 2238, price is $73.21
on day 2239, price is $73.38
on day 2240, price is $73.36
on day 2241, price is $73.35
on day 2242, price is $73.30
on day 2243, price is $73.28
on day 2244, price is $73.41
on day 2245, price is $73.51
on day 2246, price is $73.55
on day 2247, price is $73.51
on day 2248, price is $73.56
on day 2249, price is $73.53
on day 2250, price is $73.53
on day 2251, price is $73.49
on day 2252, price is $73.45
on day 2253, price is $73.62
on day 2254, price is $73.61
on day 2255, price is $73.57
on day 2256, price is $73.57
on day 2257, price is $73.55
on day 2258, price is $73.50
on day 2259, price is $73.56
on day 2260, price is $73.61
on day 2261, price is $73.73
on day 2262, price is $73.69
on day 2263, price is $73.76
on day 2264, price is $73.71
on day 2265, price is $73.69
on day 2266, price is $73.82
on day 2267, price is $73.79
on day 2268, price is $73.87
on day 2269, price is $73.85
on day 2270, price is $73.81
on day 2271, price is $73.78
on day 2272, price is $73.75
on day 2273, price is $73.74
on day 2274, price is $73.85
on day 2275, price is $73.88
on day 2276, price is $73.83
on day 2277, price is $73.99
on day 2278, price is $73.96
on day 2279, price is $73.95
on day 2280, price is $73.95
on day 2281, price is $73.94
on day 2282, price is $73.93
on day 2283, price is $74.02
on day 2284, price is $74.04
on day 2285, price is $74.13
on day 2286, price is $74.27
on day 2287, price is $74.27
on day 2288, price is $74.27
on day 2289, price is $74.40
on day 2290, price is $74.38
on day 2291, price is $74.38
on day 2292, price is $74.47
on day 2293, price is $74.63
on day 2294, price is $74.60
on day 2295, price is $74.61
on day 2296, price is $74.56
on day 2297, price is $74.56
on day 2298, price is $74.56
on day 2299, price is $74.67
on day 2300, price is $74.64
on day 2301, price is $74.63
on day 2302, price is $74.58
on day 2303, price is $74.53
on day 2304, price is $74.53
on day 2305, price is $74.49
on day 2306, price is $74.55
on day 2307, price is $74.52
on day 2308, price is $74.52
on day 2309, price is $74.54
on day 2310, price is $74.54
on day 2311, price is $74.56
on day 2312, price is $74.63
on day 2313, price is $74.68
on day 2314, price is $74.66
on day 2315, price is $74.62
on day 2316, price is $74.64
on day 2317, price is $74.67
on day 2318, price is $74.65
on day 2319, price is $74.70
on day 2320, price is $74.65
on day 2321, price is $74.67
on day 2322, price is $74.66
on day 2323, price is $74.77
on day 2324, price is $74.85
on day 2325, price is $74.85
on day 2326, price is $74.83
on day 2327, price is $74.90
on day 2328, price is $74.85
on day 2329, price is $74.84
on day 2330, price is $74.89
on day 2331, price is $74.91
on day 2332, price is $74.88
on day 2333, price is $74.96
on day 2334, price is $75.05
on day 2335, price is $75.04
on day 2336, price is $75.00
on day 2337, price is $75.06
on day 2338, price is $75.01
on day 2339, price is $75.15
on day 2340, price is $75.15
on day 2341, price is $75.31
on day 2342, price is $75.44
on day 2343, price is $75.44
on day 2344, price is $75.41
on day 2345, price is $75.44
on day 2346, price is $75.52
on day 2347, price is $75.57
on day 2348, price is $75.55
on day 2349, price is $75.53
on day 2350, price is $75.60
on day 2351, price is $75.67
on day 2352, price is $75.81
on day 2353, price is $75.77
on day 2354, price is $75.85
on day 2355, price is $75.82
on day 2356, price is $75.82
on day 2357, price is $75.80
on day 2358, price is $75.79
on day 2359, price is $75.90
on day 2360, price is $75.91
on day 2361, price is $75.89
on day 2362, price is $75.84
on day 2363, price is $75.89
on day 2364, price is $75.88
on day 2365, price is $75.90
on day 2366, price is $75.88
on day 2367, price is $75.99
on day 2368, price is $75.95
on day 2369, price is $75.93
on day 2370, price is $75.93
on day 2371, price is $75.91
on day 2372, price is $76.06
on day 2373, price is $76.11
on day 2374, price is $76.14
on day 2375, price is $76.28
on day 2376, price is $76.24
on day 2377, price is $76.22
on day 2378, price is $76.27
on day 2379, price is $76.24
on day 2380, price is $76.39
on day 2381, price is $76.44
on day 2382, price is $76.41
on day 2383, price is $76.37
on day 2384, price is $76.52
on day 2385, price is $76.50
on day 2386, price is $76.50
on day 2387, price is $76.66
on day 2388, price is $76.63
on day 2389, price is $76.61
on day 2390, price is $76.58
on day 2391, price is $76.57
on day 2392, price is $76.54
on day 2393, price is $76.51
on day 2394, price is $76.48
on day 2395, price is $76.47
on day 2396, price is $76.43
on day 2397, price is $76.42
on day 2398, price is $76.53
on day 2399, price is $76.53
on day 2400, price is $76.51
on day 2401, price is $76.57
on day 2402, price is $76.65
on day 2403, price is $76.67
on day 2404, price is $76.64
on day 2405, price is $76.78
on day 2406, price is $76.78
on day 2407, price is $76.76
on day 2408, price is $76.72
on day 2409, price is $76.86
on day 2410, price is $76.96
on day 2411, price is $76.93
on day 2412, price is $77.05
on day 2413, price is $77.05
on day 2414, price is $77.03
on day 2415, price is $77.18
on day 2416, price is $77.17
on day 2417, price is $77.29
on day 2418, price is $77.24
on day 2419, price is $77.22
on day 2420, price is $77.19
on day 2421, price is $77.30
on day 2422, price is $77.30
on day 2423, price is $77.28
on day 2424, price is $77.43
on day 2425, price is $77.56
on day 2426, price is $77.70
on day 2427, price is $77.70
on day 2428, price is $77.87
on day 2429, price is $77.91
on day 2430, price is $77.96
on day 2431, price is $77.93
on day 2432, price is $78.10
on day 2433, price is $78.26
on day 2434, price is $78.23
on day 2435, price is $78.21
on day 2436, price is $78.28
on day 2437, price is $78.27
on day 2438, price is $78.25
on day 2439, price is $78.25
on day 2440, price is $78.23
on day 2441, price is $78.21
on day 2442, price is $78.37
on day 2443, price is $78.34
on day 2444, price is $78.30
on day 2445, price is $78.45
on day 2446, price is $78.48
on day 2447, price is $78.62
on day 2448, price is $78.60
on day 2449, price is $78.59
on day 2450, price is $78.66
on day 2451, price is $78.62
on day 2452, price is $78.61
on day 2453, price is $78.59
on day 2454, price is $78.58
on day 2455, price is $78.55
on day 2456, price is $78.52
on day 2457, price is $78.51
on day 2458, price is $78.51
on day 2459, price is $78.66
on day 2460, price is $78.65
on day 2461, price is $78.68
on day 2462, price is $78.63
on day 2463, price is $78.63
on day 2464, price is $78.61
on day 2465, price is $78.61
on day 2466, price is $78.58
on day 2467, price is $78.71
on day 2468, price is $78.69
on day 2469, price is $78.76
on day 2470, price is $78.71
on day 2471, price is $78.68
on day 2472, price is $78.82
on day 2473, price is $78.81
on day 2474, price is $78.78
on day 2475, price is $78.81
on day 2476, price is $78.84
on day 2477, price is $78.84
on day 2478, price is $78.90
on day 2479, price is $78.90
on day 2480, price is $79.05
on day 2481, price is $79.08
on day 2482, price is $79.13
on day 2483, price is $79.09
on day 2484, price is $79.14
on day 2485, price is $79.11
on day 2486, price is $79.09
on day 2487, price is $79.18
on day 2488, price is $79.17
on day 2489, price is $79.32
on day 2490, price is $79.37
on day 2491, price is $79.51
on day 2492, price is $79.59
on day 2493, price is $79.63
on day 2494, price is $79.61
on day 2495, price is $79.67
on day 2496, price is $79.74
on day 2497, price is $79.78
on day 2498, price is $79.92
on day 2499, price is $79.90
on day 2500, price is $79.99
on day 2501, price is $80.12
on day 2502, price is $80.19
on day 2503, price is $80.30
on day 2504, price is $80.28
on day 2505, price is $80.23
on day 2506, price is $80.24
on day 2507, price is $80.23
on day 2508, price is $80.22
on day 2509, price is $80.35
on day 2510, price is $80.35
on day 2511, price is $80.50
on day 2512, price is $80.48
on day 2513, price is $80.47
on day 2514, price is $80.49
on day 2515, price is $80.47
on day 2516, price is $80.60
on day 2517, price is $80.73
on day 2518, price is $80.70
on day 2519, price is $80.73
on day 2520, price is $80.72
on day 2521, price is $80.71
on day 2522, price is $80.69
on day 2523, price is $80.78
on day 2524, price is $80.77
on day 2525, price is $80.76
on day 2526, price is $80.91
on day 2527, price is $81.00
on day 2528, price is $80.96
on day 2529, price is $81.01
on day 2530, price is $81.09
on day 2531, price is $81.09
on day 2532, price is $81.06
on day 2533, price is $81.02
on day 2534, price is $81.11
on day 2535, price is $81.18
on day 2536, price is $81.16
on day 2537, price is $81.24
on day 2538, price is $81.25
on day 2539, price is $81.21
on day 2540, price is $81.19
on day 2541, price is $81.23
on day 2542, price is $81.21
on day 2543, price is $81.33
on day 2544, price is $81.38
on day 2545, price is $81.37
on day 2546, price is $81.45
on day 2547, price is $81.42
on day 2548, price is $81.45
on day 2549, price is $81.52
on day 2550, price is $81.51
on day 2551, price is $81.61
on day 2552, price is $81.75
on day 2553, price is $81.72
on day 2554, price is $81.85
on day 2555, price is $81.81
on day 2556, price is $81.94
on day 2557, price is $82.06
on day 2558, price is $82.02
on day 2559, price is $81.99
on day 2560, price is $82.00
on day 2561, price is $82.13
on day 2562, price is $82.10
on day 2563, price is $82.09
on day 2564, price is $82.21
on day 2565, price is $82.19
on day 2566, price is $82.30
on day 2567, price is $82.32
on day 2568, price is $82.32
on day 2569, price is $82.29
on day 2570, price is $82.31
on day 2571, price is $82.27
on day 2572, price is $82.24
on day 2573, price is $82.29
on day 2574, price is $82.32
on day 2575, price is $82.33
on day 2576, price is $82.42
on day 2577, price is $82.40
on day 2578, price is $82.39
on day 2579, price is $82.35
on day 2580, price is $82.46
on day 2581, price is $82.58
on day 2582, price is $82.65
on day 2583, price is $82.63
on day 2584, price is $82.61
on day 2585, price is $82.63
on day 2586, price is $82.79
on day 2587, price is $82.78
on day 2588, price is $82.75
on day 2589, price is $82.70
on day 2590, price is $82.69
on day 2591, price is $82.66
on day 2592, price is $82.74
on day 2593, price is $82.69
on day 2594, price is $82.85
on day 2595, price is $82.96
on day 2596, price is $83.01
on day 2597, price is $83.15
on day 2598, price is $83.14
on day 2599, price is $83.18
on day 2600, price is $83.34
on day 2601, price is $83.36
on day 2602, price is $83.32
on day 2603, price is $83.36
on day 2604, price is $83.36
on day 2605, price is $83.33
on day 2606, price is $83.40
on day 2607, price is $83.57
on day 2608, price is $83.57
on day 2609, price is $83.56
on day 2610, price is $83.57
on day 2611, price is $83.69
on day 2612, price is $83.65
on day 2613, price is $83.67
on day 2614, price is $83.85
on day 2615, price is $83.96
on day 2616, price is $83.94
on day 2617, price is $83.89
on day 2618, price is $83.96
on day 2619, price is $84.08
on day 2620, price is $84.03
on day 2621, price is $84.18
on day 2622, price is $84.16
on day 2623, price is $84.13
on day 2624, price is $84.16
on day 2625, price is $84.26
on day 2626, price is $84.30
on day 2627, price is $84.44
on day 2628, price is $84.44
on day 2629, price is $84.53
on day 2630, price is $84.71
on day 2631, price is $84.70
on day 2632, price is $84.82
on day 2633, price is $84.92
on day 2634, price is $84.89
on day 2635, price is $85.00
on day 2636, price is $84.97
on day 2637, price is $84.92
on day 2638, price is $84.88
on day 2639, price is $85.02
on day 2640, price is $84.99
on day 2641, price is $84.96
on day 2642, price is $84.95
on day 2643, price is $84.94
on day 2644, price is $84.91
on day 2645, price is $84.87
on day 2646, price is $84.99
on day 2647, price is $85.10
on day 2648, price is $85.25
on day 2649, price is $85.37
on day 2650, price is $85.53
on day 2651, price is $85.63
on day 2652, price is $85.62
on day 2653, price is $85.67
on day 2654, price is $85.64
on day 2655, price is $85.68
on day 2656, price is $85.78
on day 2657, price is $85.74
on day 2658, price is $85.81
on day 2659, price is $85.79
on day 2660, price is $85.77
on day 2661, price is $85.74
on day 2662, price is $85.72
on day 2663, price is $85.68
on day 2664, price is $85.80
on day 2665, price is $85.93
on day 2666, price is $86.10
on day 2667, price is $86.13
on day 2668, price is $86.14
on day 2669, price is $86.26
on day 2670, price is $86.39
on day 2671, price is $86.35
on day 2672, price is $86.43
on day 2673, price is $86.48
on day 2674, price is $86.57
on day 2675, price is $86.66
on day 2676, price is $86.63
on day 2677, price is $86.63
on day 2678, price is $86.69
on day 2679, price is $86.82
on day 2680, price is $86.96
on day 2681, price is $86.95
on day 2682, price is $86.91
on day 2683, price is $86.89
on day 2684, price is $87.01
on day 2685, price is $86.97
on day 2686, price is $86.95
on day 2687, price is $86.93
on day 2688, price is $86.98
on day 2689, price is $86.94
on day 2690, price is $86.92
on day 2691, price is $86.97
on day 2692, price is $86.93
on day 2693, price is $86.91
on day 2694, price is $87.00
on day 2695, price is $86.97
on day 2696, price is $87.06
on day 2697, price is $87.16
on day 2698, price is $87.23
on day 2699, price is $87.22
on day 2700, price is $87.18
on day 2701, price is $87.18
on day 2702, price is $87.14
on day 2703, price is $87.10
on day 2704, price is $87.13
on day 2705, price is $87.08
on day 2706, price is $87.05
on day 2707, price is $87.19
on day 2708, price is $87.20
on day 2709, price is $87.18
on day 2710, price is $87.31
on day 2711, price is $87.27
on day 2712, price is $87.24
on day 2713, price is $87.28
on day 2714, price is $87.26
on day 2715, price is $87.25
on day 2716, price is $87.23
on day 2717, price is $87.23
on day 2718, price is $87.20
on day 2719, price is $87.29
on day 2720, price is $87.29
on day 2721, price is $87.37
on day 2722, price is $87.43
on day 2723, price is $87.40
on day 2724, price is $87.40
on day 2725, price is $87.49
on day 2726, price is $87.48
on day 2727, price is $87.45
on day 2728, price is $87.53
on day 2729, price is $87.69
on day 2730, price is $87.71
on day 2731, price is $87.69
on day 2732, price is $87.69
on day 2733, price is $87.67
on day 2734, price is $87.66
on day 2735, price is $87.66
on day 2736, price is $87.68
on day 2737, price is $87.70
on day 2738, price is $87.70
on day 2739, price is $87.68
on day 2740, price is $87.68
on day 2741, price is $87.66
on day 2742, price is $87.68
on day 2743, price is $87.85
on day 2744, price is $87.83
on day 2745, price is $88.00
on day 2746, price is $88.00
on day 2747, price is $88.10
on day 2748, price is $88.09
on day 2749, price is $88.26
on day 2750, price is $88.32
on day 2751, price is $88.28
on day 2752, price is $88.34
on day 2753, price is $88.35
on day 2754, price is $88.33
on day 2755, price is $88.32
on day 2756, price is $88.34
on day 2757, price is $88.45
on day 2758, price is $88.53
on day 2759, price is $88.52
on day 2760, price is $88.57
on day 2761, price is $88.57
on day 2762, price is $88.62
on day 2763, price is $88.69
on day 2764, price is $88.85
on day 2765, price is $88.85
on day 2766, price is $89.00
on day 2767, price is $89.15
on day 2768, price is $89.17
on day 2769, price is $89.15
on day 2770, price is $89.15
on day 2771, price is $89.13
on day 2772, price is $89.08
on day 2773, price is $89.06
on day 2774, price is $89.23
on day 2775, price is $89.40
on day 2776, price is $89.35
on day 2777, price is $89.52
on day 2778, price is $89.47
on day 2779, price is $89.58
on day 2780, price is $89.56
on day 2781, price is $89.64
on day 2782, price is $89.75
on day 2783, price is $89.71
on day 2784, price is $89.72
on day 2785, price is $89.74
on day 2786, price is $89.87
on day 2787, price is $89.96
on day 2788, price is $90.12
on day 2789, price is $90.17
on day 2790, price is $90.27
on day 2791, price is $90.24
on day 2792, price is $90.20
on day 2793, price is $90.19
on day 2794, price is $90.17
on day 2795, price is $90.16
on day 2796, price is $90.16
on day 2797, price is $90.13
on day 2798, price is $90.26
on day 2799, price is $90.36
on day 2800, price is $90.32
on day 2801, price is $90.29
on day 2802, price is $90.32
on day 2803, price is $90.29
on day 2804, price is $90.46
on day 2805, price is $90.58
on day 2806, price is $90.68
on day 2807, price is $90.64
on day 2808, price is $90.79
on day 2809, price is $90.87
on day 2810, price is $90.86
on day 2811, price is $90.91
on day 2812, price is $90.89
on day 2813, price is $90.90
on day 2814, price is $90.85
on day 2815, price is $90.84
on day 2816, price is $90.88
on day 2817, price is $90.84
on day 2818, price is $90.81
on day 2819, price is $90.89
on day 2820, price is $90.89
on day 2821, price is $90.89
on day 2822, price is $90.88
on day 2823, price is $90.87
on day 2824, price is $90.93
on day 2825, price is $90.92
on day 2826, price is $91.04
on day 2827, price is $91.19
on day 2828, price is $91.30
on day 2829, price is $91.38
on day 2830, price is $91.42
on day 2831, price is $91.51
on day 2832, price is $91.66
on day 2833, price is $91.68
on day 2834, price is $91.66
on day 2835, price is $91.75
on day 2836, price is $91.79
on day 2837, price is $91.74
on day 2838, price is $91.73
on day 2839, price is $91.88
on day 2840, price is $91.84
on day 2841, price is $91.86
on day 2842, price is $91.90
on day 2843, price is $92.01
on day 2844, price is $91.97
on day 2845, price is $91.97
on day 2846, price is $91.96
on day 2847, price is $91.94
on day 2848, price is $91.94
on day 2849, price is $92.00
on day 2850, price is $91.98
on day 2851, price is $91.96
on day 2852, price is $91.98
on day 2853, price is $92.03
on day 2854, price is $92.01
on day 2855, price is $91.99
on day 2856, price is $92.14
on day 2857, price is $92.19
on day 2858, price is $92.18
on day 2859, price is $92.18
on day 2860, price is $92.17
on day 2861, price is $92.17
on day 2862, price is $92.15
on day 2863, price is $92.17
on day 2864, price is $92.23
on day 2865, price is $92.22
on day 2866, price is $92.19
on day 2867, price is $92.17
on day 2868, price is $92.33
on day 2869, price is $92.28
on day 2870, price is $92.34
on day 2871, price is $92.51
on day 2872, price is $92.57
on day 2873, price is $92.53
on day 2874, price is $92.52
on day 2875, price is $92.61
on day 2876, price is $92.78
on day 2877, price is $92.75
on day 2878, price is $92.80
on day 2879, price is $92.86
on day 2880, price is $93.03
on day 2881, price is $93.21
on day 2882, price is $93.38
on day 2883, price is $93.52
on day 2884, price is $93.61
on day 2885, price is $93.61
on day 2886, price is $93.69
on day 2887, price is $93.67
on day 2888, price is $93.77
on day 2889, price is $93.79
on day 2890, price is $93.89
on day 2891, price is $93.84
on day 2892, price is $93.80
on day 2893, price is $93.96
on day 2894, price is $94.07
on day 2895, price is $94.05
on day 2896, price is $94.17
on day 2897, price is $94.23
on day 2898, price is $94.22
on day 2899, price is $94.21
on day 2900, price is $94.16
on day 2901, price is $94.31
on day 2902, price is $94.33
on day 2903, price is $94.30
on day 2904, price is $94.26
on day 2905, price is $94.26
on day 2906, price is $94.21
on day 2907, price is $94.18
on day 2908, price is $94.16
on day 2909, price is $94.31
on day 2910, price is $94.32
on day 2911, price is $94.49
on day 2912, price is $94.61
on day 2913, price is $94.60
on day 2914, price is $94.57
on day 2915, price is $94.53
on day 2916, price is $94.51
on day 2917, price is $94.55
on day 2918, price is $94.53
on day 2919, price is $94.61
on day 2920, price is $94.57
on day 2921, price is $94.57
on day 2922, price is $94.52
on day 2923, price is $94.52
on day 2924, price is $94.50
on day 2925, price is $94.57
on day 2926, price is $94.52
on day 2927, price is $94.49
on day 2928, price is $94.45
on day 2929, price is $94.59
on day 2930, price is $94.61
on day 2931, price is $94.58
on day 2932, price is $94.53
on day 2933, price is $94.49
on day 2934, price is $94.64
on day 2935, price is $94.67
on day 2936, price is $94.73
on day 2937, price is $94.88
on day 2938, price is $94.87
on day 2939, price is $94.90
on day 2940, price is $94.88
on day 2941, price is $94.98
on day 2942, price is $94.95
on day 2943, price is $95.08
on day 2944, price is $95.12
on day 2945, price is $95.15
on day 2946, price is $95.31
on day 2947, price is $95.34
on day 2948, price is $95.32
on day 2949, price is $95.47
on day 2950, price is $95.45
on day 2951, price is $95.42
on day 2952, price is $95.42
on day 2953, price is $95.51
on day 2954, price is $95.58
on day 2955, price is $95.75
on day 2956, price is $95.70
on day 2957, price is $95.86
on day 2958, price is $95.84
on day 2959, price is $95.97
on day 2960, price is $95.93
on day 2961, price is $95.90
on day 2962, price is $95.89
on day 2963, price is $95.86
on day 2964, price is $95.81
on day 2965, price is $95.77
on day 2966, price is $95.73
on day 2967, price is $95.70
on day 2968, price is $95.72
on day 2969, price is $95.71
on day 2970, price is $95.71
on day 2971, price is $95.77
on day 2972, price is $95.75
on day 2973, price is $95.85
on day 2974, price is $95.85
on day 2975, price is $95.81
on day 2976, price is $95.78
on day 2977, price is $95.76
on day 2978, price is $95.91
on day 2979, price is $96.06
on day 2980, price is $96.02
on day 2981, price is $96.00
on day 2982, price is $95.98
on day 2983, price is $95.99
on day 2984, price is $96.07
on day 2985, price is $96.07
on day 2986, price is $96.03
on day 2987, price is $96.01
on day 2988, price is $96.00
on day 2989, price is $95.97
on day 2990, price is $96.09
on day 2991, price is $96.06
on day 2992, price is $96.23
on day 2993, price is $96.36
on day 2994, price is $96.33
on day 2995, price is $96.28
on day 2996, price is $96.25
on day 2997, price is $96.23
on day 2998, price is $96.18
on day 2999, price is $96.19
on day 3000, price is $96.29
on day 3001, price is $96.24
on day 3002, price is $96.31
on day 3003, price is $96.33
on day 3004, price is $96.30
on day 3005, price is $96.25
on day 3006, price is $96.24
on day 3007, price is $96.23
on day 3008, price is $96.20
on day 3009, price is $96.15
on day 3010, price is $96.26
on day 3011, price is $96.21
on day 3012, price is $96.31
on day 3013, price is $96.47
on day 3014, price is $96.55
on day 3015, price is $96.60
on day 3016, price is $96.56
on day 3017, price is $96.72
on day 3018, price is $96.69
on day 3019, price is $96.67
on day 3020, price is $96.78
on day 3021, price is $96.90
on day 3022, price is $96.90
on day 3023, price is $96.87
on day 3024, price is $96.92
on day 3025, price is $96.89
on day 3026, price is $97.03
on day 3027, price is $97.14
on day 3028, price is $97.20
on day 3029, price is $97.17
on day 3030, price is $97.13
on day 3031, price is $97.26
on day 3032, price is $97.24
on day 3033, price is $97.36
on day 3034, price is $97.40
on day 3035, price is $97.39
on day 3036, price is $97.50
on day 3037, price is $97.48
on day 3038, price is $97.44
on day 3039, price is $97.41
on day 3040, price is $97.37
on day 3041, price is $97.34
on day 3042, price is $97.33
on day 3043, price is $97.31
on day 3044, price is $97.45
on day 3045, price is $97.50
on day 3046, price is $97.50
on day 3047, price is $97.54
on day 3048, price is $97.64
on day 3049, price is $97.62
on day 3050, price is $97.62
on day 3051, price is $97.59
on day 3052, price is $97.56
on day 3053, price is $97.55
on day 3054, price is $97.53
on day 3055, price is $97.53
on day 3056, price is $97.60
on day 3057, price is $97.56
on day 3058, price is $97.52
on day 3059, price is $97.55
on day 3060, price is $97.57
on day 3061, price is $97.58
on day 3062, price is $97.57
on day 3063, price is $97.53
on day 3064, price is $97.59
on day 3065, price is $97.63
on day 3066, price is $97.67
on day 3067, price is $97.66
on day 3068, price is $97.75
on day 3069, price is $97.81
on day 3070, price is $97.79
on day 3071, price is $97.77
on day 3072, price is $97.77
on day 3073, price is $97.74
on day 3074, price is $97.82
on day 3075, price is $97.93
on day 3076, price is $97.90
on day 3077, price is $97.88
on day 3078, price is $97.92
on day 3079, price is $97.99
on day 3080, price is $98.04
on day 3081, price is $98.04
on day 3082, price is $97.99
on day 3083, price is $98.16
on day 3084, price is $98.23
on day 3085, price is $98.18
on day 3086, price is $98.16
on day 3087, price is $98.14
on day 3088, price is $98.31
on day 3089, price is $98.33
on day 3090, price is $98.33
on day 3091, price is $98.37
on day 3092, price is $98.54
on day 3093, price is $98.55
on day 3094, price is $98.52
on day 3095, price is $98.55
on day 3096, price is $98.53
on day 3097, price is $98.51
on day 3098, price is $98.51
on day 3099, price is $98.60
on day 3100, price is $98.55
on day 3101, price is $98.52
on day 3102, price is $98.50
on day 3103, price is $98.54
on day 3104, price is $98.51
on day 3105, price is $98.65
on day 3106, price is $98.65
on day 3107, price is $98.75
on day 3108, price is $98.72
on day 3109, price is $98.74
on day 3110, price is $98.70
on day 3111, price is $98.68
on day 3112, price is $98.68
on day 3113, price is $98.82
on day 3114, price is $98.81
on day 3115, price is $98.89
on day 3116, price is $98.92
on day 3117, price is $98.90
on day 3118, price is $98.86
on day 3119, price is $98.82
on day 3120, price is $98.97
on day 3121, price is $99.05
on day 3122, price is $99.08
on day 3123, price is $99.18
on day 3124, price is $99.31
on day 3125, price is $99.41
on day 3126, price is $99.43
on day 3127, price is $99.58
on day 3128, price is $99.63
on day 3129, price is $99.62
on day 3130, price is $99.80
on day 3131, price is $99.85
on day 3132, price is $99.85
on day 3133, price is $99.90
on day 3134, price is $99.91
on day 3135, price is $99.90
on day 3136, price is $99.96
on day 3137, price is $99.92
on day 3138, price is $99.97
on day 3139, price is $100.14
